school_id,district,facility,enrollment,school_compliance,compliance_bin,protection,protection_bin
A10010010260001,,Seymour High School,248,100.00%,100%,100.00%,100%
A10010010262002,Payson CUSD 1,Seymour Elementary School,315,99.68%,98-99.9%,99.37%,98-99.9%
A10010020260001,Liberty CUSD 2,Liberty High School,283,100.00%,100%,100.00%,100%
A10010020262002,Liberty CUSD 2,Liberty Elementary School,317,99.68%,98-99.9%,99.05%,98-99.9%
A01001002X060000,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,St James Lutheran,156,92.31%,90-97.9%,98.08%,98-99.9%
A10010030260001,Central CUSD 3,Central High School,252,98.81%,98-99.9%,99.60%,98-99.9%
A10010030261001,Central CUSD 3,Central Junior High School,283,99.29%,98-99.9%,99.65%,98-99.9%
A10010030262003,Central CUSD 3,Central Elementary Grade School,242,98.76%,98-99.9%,97.52%,90-97.9%
A10010030262008,Central CUSD 3,Central 3-4 Middle School,133,100.00%,100%,99.25%,98-99.9%
A10010040260001,CUSD 4,Unity High School,215,100.00%,100%,100.00%,100%
A10010040262006,CUSD 4,Unity Elementary School,214,100.00%,100%,99.07%,98-99.9%
A10010040262007,CUSD 4,Unity Middle School,251,100.00%,100%,100.00%,100%
A01001005X100000,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,St Dominic School,204,100.00%,100%,98.53%,98-99.9%
A01001006X100000,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,St Francis Solanus,339,99.71%,98-99.9%,99.71%,98-99.9%
A01001007X100000,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,Blessed Sacrament Catholic School,240,99.58%,98-99.9%,98.75%,98-99.9%
A01001009X100000,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,St Peter School,429,100.00%,100%,98.14%,98-99.9%
A01001012Y100000,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,Quincy Notre Dame High School,402,100.00%,100%,99.00%,98-99.9%
A10011720220003,Quincy SD 172,Quincy Sr High School,1866,99.20%,98-99.9%,99.46%,98-99.9%
A10011720221003,Quincy SD 172,Quincy Jr High School,1428,99.58%,98-99.9%,98.95%,98-99.9%
A10011720222004,Quincy SD 172,Adams Elementary School,340,98.24%,98-99.9%,98.53%,98-99.9%
A10011720222006,Quincy SD 172,Dewey Elementary School,217,99.54%,98-99.9%,98.16%,98-99.9%
A10011720222007,Quincy SD 172,Ellington Elementary School,293,100.00%,100%,99.66%,98-99.9%
A10011720222008,Quincy SD 172,Berrian School,176,98.86%,98-99.9%,97.73%,90-97.9%
A10011720222009,Quincy SD 172,Madison School,342,99.42%,98-99.9%,98.25%,98-99.9%
A10011720222016,Quincy SD 172,Lincoln-Douglas Elementary School,254,100.00%,100%,98.43%,98-99.9%
A10011720222017,Quincy SD 172,Washington Elementary School,220,99.55%,98-99.9%,99.55%,98-99.9%
A10011720222019,Quincy SD 172,Baldwin Intermediate,960,99.90%,98-99.9%,99.27%,98-99.9%
A10011720223004,Quincy SD 172,Early Childhood,527,99.24%,98-99.9%,99.43%,98-99.9%
A10011720223005,Quincy SD 172,Adams Co Juvenile Detention Cntr,14,35.71%,<90%,50.00%,<90%
A10050010260001,Brown County CUSD 1,Brown County High School,200,95.50%,90-97.9%,100.00%,100%
A10050010261002,Brown County CUSD 1,Brown County Middle School,213,99.53%,98-99.9%,100.00%,100%
A10050010262002,Brown County CUSD 1,Brown County Elementary School,318,99.69%,98-99.9%,99.37%,98-99.9%
A01005001X100000,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,St Mary School,75,98.67%,98-99.9%,97.33%,90-97.9%
A01009002X060000,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,Trinity Lutheran,41,100.00%,100%,100.00%,100%
A01009003Z260000,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,Beardstown Christian Academy,118,100.00%,100%,94.07%,90-97.9%
A10090150260007,Beardstown CUSD 15,Beardstown Jr/Sr High School,911,97.59%,90-97.9%,99.01%,98-99.9%
A10090150262003,Beardstown CUSD 15,Gard Elementary School,535,98.50%,98-99.9%,99.25%,98-99.9%
A10090150263002,Beardstown CUSD 15,Grand Ave Sch,152,96.71%,90-97.9%,100.00%,100%
A10090640260003,Virginia CUSD 64,Virginia Jr/ Sr High School,136,100.00%,100%,95.59%,90-97.9%
A10090640262001,Virginia CUSD 64,Virginia Elem School,162,100.00%,100%,100.00%,100%
A10092620260002,A-C Central CUSD 262,A-C Central High School,145,100.00%,100%,99.31%,98-99.9%
A10092620261002,A-C Central CUSD 262,A-C Central Middle School,129,100.00%,100%,100.00%,100%
A10092620262001,A-C Central CUSD 262,A-C Central Elementary School,188,100.00%,100%,99.47%,98-99.9%
A10690010260001,Franklin CUSD 1,Franklin Jr/Sr High School,149,96.64%,90-97.9%,99.33%,98-99.9%
A10690010262004,Franklin CUSD 1,Alexander Elem School,100,100.00%,100%,100.00%,100%
A10690010262005,Franklin CUSD 1,Franklin East Grade School,60,98.33%,98-99.9%,98.33%,98-99.9%
A01069003X100000,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,Our Saviour School,315,100.00%,100%,97.14%,90-97.9%
A01069004Y100000,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,Routt Catholic High School,128,100.00%,100%,100.00%,100%
A01069005X060000,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,Salem Lutheran,107,94.39%,90-97.9%,99.07%,98-99.9%
A10690060260001,Waverly CUSD 6,Waverly Jr/Sr  High School,180,99.44%,98-99.9%,99.44%,98-99.9%
A10690060262002,Waverly CUSD 6,Waverly Elementary School,200,98.00%,98-99.9%,99.00%,98-99.9%
A01069007Z020000,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,Westfair Christian Academy,117,100.00%,100%,98.29%,98-99.9%
A10690110260001,Meredosia-Chambersburg CUSD 11,Meredosia-Chambersburg High Sch,54,100.00%,100%,100.00%,100%
A10690110261001,Meredosia-Chambersburg CUSD 11,Meredosia-Chambersburg Jr High,37,100.00%,100%,97.30%,90-97.9%
A10690110262003,Meredosia-Chambersburg CUSD 11,Meredosia-Chambersburg Elem Sch,116,100.00%,100%,100.00%,100%
A10690270260001,Triopia CUSD 27,Triopia Jr-Sr High School,167,100.00%,100%,100.00%,100%
A10690270262002,Triopia CUSD 27,Triopia Grade School,220,99.09%,98-99.9%,99.09%,98-99.9%
A10691170220014,Jacksonville SD 117,Jacksonville High School,981,96.74%,90-97.9%,99.59%,98-99.9%
A10691170221013,Jacksonville SD 117,Jacksonville Middle School,520,98.85%,98-99.9%,100.00%,100%
A10691170222001,Jacksonville SD 117,Eisenhower Elem School,329,100.00%,100%,98.48%,98-99.9%
A10691170222005,Jacksonville SD 117,Washington Elem School,308,99.35%,98-99.9%,98.38%,98-99.9%
A10691170222006,Jacksonville SD 117,Lincoln Elem School,288,92.36%,90-97.9%,96.88%,90-97.9%
A10691170222007,Jacksonville SD 117,South Jacksonville Elem School,331,97.58%,90-97.9%,98.49%,98-99.9%
A10691170222008,Jacksonville SD 117,North Jacksonville School,211,98.10%,98-99.9%,99.05%,98-99.9%
A10691170222009,Jacksonville SD 117,Murrayville-Woodson Elem School,167,98.20%,98-99.9%,98.80%,98-99.9%
A10691170223012,Jacksonville SD 117,Walnut Court Early Years Prgm,179,87.71%,<90%,96.09%,90-97.9%
A01075001X140000,Adam/Brwn/Cass/Morgn/Pik/Sctt ROE,Pike County Christian Academy,36,100.00%,100%,97.22%,90-97.9%
A10750030260002,Pleasant Hill CUSD 3,Pleasant Hill High School,81,85.19%,<90%,100.00%,100%
A10750030262001,Pleasant Hill CUSD 3,Pleasant Hill Elem School,239,96.23%,90-97.9%,98.74%,98-99.9%
A10750040260002,Griggsville-Perry CUSD 4,Griggsville-Perry High School,106,98.11%,98-99.9%,100.00%,100%
A10750040261002,Griggsville-Perry CUSD 4,Griggsville-Perry Middle School,118,100.00%,100%,100.00%,100%
A10750040262001,Griggsville-Perry CUSD 4,Griggsville-Perry Primary School,165,100.00%,100%,98.18%,98-99.9%
A10750100260009,Pikeland CUSD 10,Pittsfield High School,342,99.71%,98-99.9%,99.42%,98-99.9%
A10750100262007,Pikeland CUSD 10,Pittsfield South Elem School,334,100.00%,100%,99.40%,98-99.9%
A10750100262010,Pikeland CUSD 10,Pikeland Community School,588,99.32%,98-99.9%,99.83%,98-99.9%
A10750120260001,Western CUSD 12,Western High School,145,99.31%,98-99.9%,100.00%,100%
A10750120261001,Western CUSD 12,Western Jr High School,182,100.00%,100%,100.00%,100%
A10750120262001,Western CUSD 12,Western Barry Elem,234,100.00%,100%,100.00%,100%
A10860020260001,Scott-Morgan CUSD 2,Bluffs High School,65,100.00%,100%,100.00%,100%
A10860020261001,Scott-Morgan CUSD 2,Bluffs Junior High School,34,100.00%,100%,100.00%,100%
A10860020262001,Scott-Morgan CUSD 2,Bluffs Elementary School,133,100.00%,100%,100.00%,100%
A30030010260001,Mulberry Grove CUSD 1,Mulberry Grove Sr High School,109,94.50%,90-97.9%,99.08%,98-99.9%
A30030010261001,Mulberry Grove CUSD 1,Mulberry Grove Jr High School,96,98.96%,98-99.9%,100.00%,100%
